problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
3PK,30,0,True,1.9254857213476524,0.0,93,0.0023834705352783203,3,Function tolerance reached
A4X12,115,385,False,nan,nan,nan,nan,,Optimization error: 
ACOPP118,344,608,False,nan,nan,nan,nan,,Optimization error: 
ACOPP14,38,68,False,nan,nan,nan,nan,,Optimization error: 
ACOPP30,72,142,False,0.0,2.2853938631635105,119,0.11772775650024414,3,Infeasible solution
ACOPP57,128,274,False,nan,nan,nan,nan,,Optimization error: 
ACOPR118,344,726,False,0.003755078243699245,13.444326543446142,103,2.231727123260498,3,Infeasible solution
ACOPR14,38,82,False,nan,nan,nan,nan,,Optimization error: 
ACOPR30,72,172,False,0.0,0.6707690595745759,41,0.05440926551818848,4,Infeasible solution
ACOPR57,128,331,False,7.107911082825036e-08,7.443754831675057,96,0.3886289596557617,4,Infeasible solution
AGG,163,488,False,nan,nan,nan,nan,,Optimization error: 
AIRCRFTA,5,5,False,0.0,2.8394033246441057,3,0.00015974044799804688,3,Infeasible solution
AIRCRFTB,5,0,True,1.5457944429600984e-12,0.0,38,0.00019884109497070312,3,Function tolerance reached
AIRPORT,84,42,False,0.0,259.290464076487,3,0.004611968994140625,3,Infeasible solution
AKIVA,2,0,True,6.166044063526307,0.0,18,0.00029206275939941406,3,Function tolerance reached
ALLINIT,3,0,False,nan,nan,nan,nan,,Optimization error: 
ALLINITA,3,4,False,nan,nan,nan,nan,,Optimization error: 
ALLINITC,3,1,False,nan,nan,nan,nan,,Optimization error: 
ALLINITU,4,0,True,5.744385659548423,0.0,16,0.00011920928955078125,3,Function tolerance reached
ALSOTAME,2,1,False,nan,nan,nan,nan,,Optimization error: 
ANTWERP,27,10,False,nan,nan,nan,nan,,Optimization error: 
ARGAUSS,3,15,True,0.0,0.005046921213723282,51,0.0031604766845703125,3,Function tolerance reached
ARGLALE,200,400,False,0.0,14.142135623730907,70,0.5720729827880859,3,Infeasible solution
ARGLBLE,200,400,False,0.0,11.525352488070412,15,0.06792473793029785,3,Infeasible solution
ARGLCLE,200,399,False,-1.0,11.539804338020193,26,0.0864419937133789,3,Infeasible solution
ARGLINA,200,0,True,200.00000000000085,0.0,17,0.020218610763549805,3,Function tolerance reached
ARGLINB,200,0,True,99.62546622963549,0.0,21,0.029937744140625,3,Function tolerance reached
ARGLINC,200,0,True,101.12546848273387,0.0,19,0.03159809112548828,3,Function tolerance reached
ARGTRIG,200,200,False,0.0,8.08376379651889,8,0.053028106689453125,3,Infeasible solution
ARGTRIGLS,200,0,True,0.07495437407817046,0.0,501,0.7574238777160645,3,Function tolerance reached
ARWHDNE,500,998,False,0.0,31.701734544156604,15,1.5025203227996826,3,Infeasible solution
AVGASA,8,10,False,-7.600001634602612,2.7377017448752308,99,0.0077517032623291016,3,Infeasible solution
AVGASB,8,10,False,-6.906251042525002,2.766994277613429,99,0.008010387420654297,3,Infeasible solution
AVION2,49,15,False,nan,nan,nan,nan,,Optimization error: 
BA-L1,57,12,False,0.0,356.91422512075565,1001,0.05770993232727051,5,Infeasible solution
BA-L1LS,57,0,True,2947.245874599804,0.0,47,0.0020246505737304688,3,Function tolerance reached
BA-L1SP,57,12,False,0.0,291.8603882932795,13,0.003263235092163086,3,Infeasible solution
BA-L1SPLS,57,0,True,2.8052759726735347e-09,0.0,388,0.026067256927490234,3,Function tolerance reached
BARD,3,0,True,0.008214877724465572,0.0,26,0.00021004676818847656,3,Function tolerance reached
BARDNE,3,15,False,0.0,2.0900914072781314,17,0.0014417171478271484,3,Infeasible solution
BATCH,48,73,False,nan,nan,nan,nan,,Optimization error: 
BEALE,2,0,True,1.6333443073853049e-09,0.0,19,0.00010991096496582031,3,Function tolerance reached
BEALENE,2,3,False,0.0,1.1242275849156016,81,0.001312255859375,3,Infeasible solution
BENNETT5,3,154,False,0.0,1.1914294355884993,35,0.023825883865356445,3,Infeasible solution
BENNETT5LS,3,0,True,5.351333880677899,0.0,22,0.0004780292510986328,3,Function tolerance reached
BIGGS3,3,0,True,2.717670883335713e-07,0.0,19,0.00012063980102539062,3,Function tolerance reached
BIGGS5,5,0,True,0.005655658669591031,0.0,63,0.0003745555877685547,3,Function tolerance reached
